Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99069,San Benito (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99075,San Francisco (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99077,San Joaquin (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99081,San Mateo (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99085,Santa Clara (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99087,Santa Cruz (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99095,Solano (County),89043
799,No,Yes,Yes,Yes,CA,1987/10/7 0:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1987/10/1 0:00,1987/11/20 0:00,2000/9/7 0:00,99037,Los Angeles (County),87028
799,No,Yes,Yes,Yes,CA,1987/10/7 0:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1987/10/1 0:00,1987/11/20 0:00,2000/9/7 0:00,99059,Orange (County),87028
694,No,Yes,Yes,Yes,ID,1983/11/18 0:00,DR,Earthquake,EARTHQUAKE,1983/10/28 0:00,1984/1/25 0:00,1988/5/6 0:00,99023,Butte (County),84005
694,No,Yes,Yes,Yes,ID,1983/11/18 0:00,DR,Earthquake,EARTHQUAKE,1983/10/28 0:00,1984/1/25 0:00,1988/5/6 0:00,99037,Custer (County),84005
694,No,Yes,Yes,Yes,ID,1983/11/18 0:00,DR,Earthquake,EARTHQUAKE,1983/10/28 0:00,1984/1/25 0:00,1988/5/6 0:00,99047,Gooding (County),84005
682,No,Yes,Yes,Yes,CA,1983/5/5 0:00,DR,Earthquake,COALINGA EARTHQUAKE,1983/5/5 0:00,1983/5/5 0:00,1989/10/3 0:00,99031,Kings (County),83028
609,No,Yes,Yes,Yes,CA,1979/10/19 0:00,DR,Earthquake,EARTHQUAKE,1979/10/19 0:00,1979/10/19 0:00,1988/3/17 0:00,99025,Imperial (County),80002
490,No,Yes,Yes,Yes,HI,1975/12/7 0:00,DR,Earthquake,"EARTHQUAKE, SEISMIC WAVES & VOLCANIC ERUPTION",1975/12/7 0:00,1975/12/7 0:00,1979/9/10 0:00,99001,Hawaii (County),76026
383,No,No,Yes,Yes,HI,1973/5/16 0:00,DR,Earthquake,EARTHQUAKE,1973/5/16 0:00,1973/5/16 0:00,1977/3/7 0:00,99001,Hawaii (County),73044
299,No,Yes,Yes,Yes,CA,1971/2/9 0:00,DR,Earthquake,SAN FERNANDO EARTHQUAKE,1971/2/9 0:00,1971/2/9 0:00,1990/10/30 0:00,99037,Los Angeles (County),71022
196,No,Yes,Yes,Yes,WA,1965/5/11 0:00,DR,Earthquake,EARTHQUAKE,1965/5/11 0:00,1965/5/11 0:00,1968/12/17 0:00,99033,King (County),65022
196,No,Yes,Yes,Yes,WA,1965/5/11 0:00,DR,Earthquake,EARTHQUAKE,1965/5/11 0:00,1965/5/11 0:00,1968/12/17 0:00,99035,Kitsap (County),65022
196,No,Yes,Yes,Yes,WA,1965/5/11 0:00,DR,Earthquake,EARTHQUAKE,1965/5/11 0:00,1965/5/11 0:00,1968/12/17 0:00,99045,Mason (County),65022
196,No,Yes,Yes,Yes,WA,1965/5/11 0:00,DR,Earthquake,EARTHQUAKE,1965/5/11 0:00,1965/5/11 0:00,1968/12/17 0:00,99053,Pierce (County),65022
196,No,Yes,Yes,Yes,WA,1965/5/11 0:00,DR,Earthquake,EARTHQUAKE,1965/5/11 0:00,1965/5/11 0:00,1968/12/17 0:00,99061,Snohomish (County),65022
196,No,Yes,Yes,Yes,WA,1965/5/11 0:00,DR,Earthquake,EARTHQUAKE,1965/5/11 0:00,1965/5/11 0:00,1968/12/17 0:00,99067,Thurston (County),65022
168,No,Yes,Yes,Yes,AK,1964/3/28 0:00,DR,Earthquake,EARTHQUAKE,1964/3/28 0:00,1964/3/28 0:00,1971/6/17 0:00,,,64015
96,No,Yes,Yes,Yes,HI,1960/1/21 0:00,DR,Earthquake,EARTHQUAKES & VOLCANIC DISTURBANCES,1960/1/21 0:00,1960/1/21 0:00,1961/6/9 0:00,,,60014
19,No,Yes,Yes,Yes,NV,1954/7/14 0:00,DR,Earthquake,EARTHQUAKE,1954/7/14 0:00,1954/7/14 0:00,1957/8/1 0:00,,,54010
