Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
2566,No,No,Yes,No,CO,2005/7/10 16:06,FM,Fire,MASON FIRE ,2005/7/8 6:00,2005/7/17 22:00,2010/7/7 0:00,99101,Pueblo (County),5056
2565,No,No,Yes,No,SD,2005/7/10 12:21,FM,Fire,SD RICCO FIRE,2005/7/9 20:31,2005/7/19 18:00,2006/10/20 0:00,99093,Meade (County),5057
2564,No,No,Yes,No,UT,2005/6/27 23:08,FM,Fire,BLUE SPRINGS FIRE,2005/6/27 6:00,2005/7/1 22:00,2008/5/27 0:00,99053,Washington (County),5048
2563,No,No,Yes,No,NV,2005/6/24 23:03,FM,Fire,GOOD SPRINGS FIRE,2005/6/22 21:00,2005/7/6 0:00,2006/4/10 0:00,99003,Clark (County),5047
2562,No,No,Yes,No,AZ,2005/6/23 23:03,FM,Fire,AZ-HUMBUG FIRE 06-23--2005,2005/6/22 22:00,2005/6/27 21:00,2009/1/15 0:00,99025,Yavapai (County),5046
2561,No,No,Yes,No,AZ,2005/6/22 17:43,FM,Fire,CAVE CREEK FIRE COMPLEX ,2005/6/21 22:00,2005/7/7 0:00,2008/9/25 0:00,99013,Maricopa (County),5045
2561,No,No,Yes,No,AZ,2005/6/22 17:43,FM,Fire,CAVE CREEK FIRE COMPLEX ,2005/6/21 22:00,2005/7/7 0:00,2008/9/25 0:00,99025,Yavapai (County),5045
2560,No,No,Yes,No,AZ,2005/6/12 1:00,FM,Fire,AZ-HULET FIRE-06-11-2005,2005/6/11 18:20,2005/6/18 0:00,2008/12/30 0:00,99015,Mohave (County),5043
2559,No,No,Yes,No,AZ,2005/6/8 21:46,FM,Fire,AZ-BOBBY FIRE-06-08-2005,2005/6/8 15:20,2005/6/13 0:00,2008/12/30 0:00,99013,Maricopa (County),5041
2558,No,No,Yes,No,AZ,2005/5/26 21:48,FM,Fire,VEKOL FIRE-05-26-2005,2005/5/26 18:00,2005/5/29 0:00,2008/12/30 0:00,99021,Pinal (County),5039
2557,No,No,Yes,No,SD,2005/4/19 15:47,FM,Fire,SD WILDFIRE CAMP FIVE,2005/4/17 12:00,2005/4/19 23:59,2005/8/17 0:00,99081,Lawrence (County),5035
2556,No,No,Yes,No,HI,2004/9/14 1:59,FM,Fire,KAWAIHAE ROAD FIRE HAWAII,2004/9/12 17:05,2004/9/16 0:00,2005/2/7 0:00,99001,Hawaii (County),4107
2555,No,No,Yes,No,CA,2004/9/13 5:41,FM,Fire,RIX-CA-OLD HIGHWAY WILDFIRE 9/13/04,2004/9/12 18:51,2004/9/17 0:00,2009/9/29 0:00,99043,Mariposa (County),4105
2554,No,No,Yes,No,CA,2004/9/4 21:22,FM,Fire,CA-GEYSERS FIRE-09-04-2004,2004/9/3 20:24,2004/9/15 0:00,2010/1/5 23:59,99033,Lake (County),4100
2554,No,No,Yes,No,CA,2004/9/4 21:22,FM,Fire,CA-GEYSERS FIRE-09-04-2004,2004/9/3 20:24,2004/9/15 0:00,2010/1/5 23:59,99097,Sonoma (County),4100
2553,No,No,Yes,No,CA,2004/9/3 22:08,FM,Fire,CA-PATTISON FIRE-09-03-2004,2004/9/3 16:50,2004/9/8 0:00,2009/9/29 0:00,99009,Calaveras (County),4099
2552,No,No,Yes,No,CA,2004/9/2 23:13,FM,Fire,CA-BEAR FIRE-09-02-2004,2004/9/2 14:57,2004/9/7 0:00,2009/8/27 0:00,99043,Mariposa (County),4098
2551,No,No,Yes,No,AK,2004/9/1 20:40,FM,Fire,AK-TAYLOR COMPLEX FIRE-09-01-2004,2004/8/9 4:01,2004/9/12 4:00,2008/1/3 0:00,19725,Dot Lake (ANV/ANVSA),4096
2551,No,No,Yes,No,AK,2004/9/1 20:40,FM,Fire,AK-TAYLOR COMPLEX FIRE-09-01-2004,2004/8/9 4:01,2004/9/12 4:00,2008/1/3 0:00,56240,Northway (ANV/ANVSA),4096
2551,No,No,Yes,No,AK,2004/9/1 20:40,FM,Fire,AK-TAYLOR COMPLEX FIRE-09-01-2004,2004/8/9 4:01,2004/9/12 4:00,2008/1/3 0:00,75055,Tanacross (ANV/ANVSA),4096
2551,No,No,Yes,No,AK,2004/9/1 20:40,FM,Fire,AK-TAYLOR COMPLEX FIRE-09-01-2004,2004/8/9 4:01,2004/9/12 4:00,2008/1/3 0:00,76595,Tetlin (ANV/ANVSA),4096
2551,No,No,Yes,No,AK,2004/9/1 20:40,FM,Fire,AK-TAYLOR COMPLEX FIRE-09-01-2004,2004/8/9 4:01,2004/9/12 4:00,2008/1/3 0:00,77805,Tok (ANV/ANVSA),4096
1540,No,No,Yes,Yes,NV,2004/8/26 23:15,DR,Fire,WILDLAND FIRE,2004/7/14 6:00,2004/7/27 0:00,2014/3/20 0:00,9700,Carson City,4083
2550,No,No,Yes,No,NV,2004/8/25 19:00,FM,Fire,ANDREW WILDFIRE,2004/8/25 15:40,2004/8/31 21:00,2006/1/4 0:00,99031,Washoe (County),4093
2549,No,No,Yes,No,OR,2004/8/21 2:05,FM,Fire,OR-BLAND MOUNTAIN WILDFIRE-08-20-2004,2004/8/20 20:00,2004/9/5 22:00,2006/12/11 0:00,99019,Douglas (County),4094
2547,No,No,Yes,No,CA,2004/8/14 23:39,FM,Fire,CA-FRENCH FIRE 08-14-2004,2004/8/14 17:22,2004/9/5 0:00,2009/9/30 0:00,99089,Shasta (County),4088
2548,No,No,Yes,No,CA,2004/8/14 23:39,FM,Fire,CA-LAKE FIRE 08-14-2004,2004/8/14 18:00,2004/8/16 21:00,2009/8/12 0:00,99089,Shasta (County),4089
2546,No,No,Yes,No,WA,2004/8/12 2:13,FM,Fire,MUD LAKE FIRE,2004/8/12 5:15,2004/8/16 3:00,2006/9/6 0:00,99077,Yakima (County),4079
2544,No,No,Yes,No,CA,2004/8/11 23:05,FM,Fire,CA-BEAR FIRE-08-11-2004,2004/8/11 17:00,2004/8/25 21:00,2009/9/29 0:00,99089,Shasta (County),4082
